Day of Date,Reg,Segmen Produk,Revenue,Target
1/5/2023,Reg 6,Payment,171519131,0
1/5/2023,Reg 6,Remittance & Sharia,53366304,0
1/6/2023,Pospay,Bendapos & Meterai,0,0
1/6/2023,Pospay,Fronting,47086,0
1/6/2023,Pospay,Payment,80528338,0
1/6/2023,Pospay,Remittance & Sharia,24624874,0
1/6/2023,Reg 1,Bendapos & Meterai,182928724,0
1/6/2023,Reg 1,Fronting,22131181,0
1/6/2023,Reg 1,Fund Distribution,0,0
1/6/2023,Reg 1,Payment,158221301,0
1/6/2023,Reg 1,Remittance & Sharia,33907656,0
1/6/2023,Reg 2,Bendapos & Meterai,276262081,0
1/6/2023,Reg 2,Fronting,8468284,0
1/6/2023,Reg 2,Fund Distribution,0,0
1/6/2023,Reg 2,Payment,89233734,0
1/6/2023,Reg 2,Remittance & Sharia,56833184,0
1/6/2023,Reg 3,Bendapos & Meterai,96283895,0
1/6/2023,Reg 3,Fronting,15898519,0
1/6/2023,Reg 3,Fund Distribution,0,0
1/6/2023,Reg 3,Payment,49725729,0
1/6/2023,Reg 3,Remittance & Sharia,99256573,0
1/6/2023,Reg 4,Bendapos & Meterai,123935491,0
1/6/2023,Reg 4,Fronting,15390446,0
1/6/2023,Reg 4,Payment,104495206,0
1/6/2023,Reg 4,Remittance & Sharia,28906150,0
1/6/2023,Reg 5,Bendapos & Meterai,159506658,0
1/6/2023,Reg 5,Fronting,22384507,0
1/6/2023,Reg 5,Fund Distribution,0,0
1/6/2023,Reg 5,Payment,116626063,0
1/6/2023,Reg 5,Remittance & Sharia,62856910,0
1/6/2023,Reg 6,Bendapos & Meterai,152604933,0
1/6/2023,Reg 6,Fronting,20618006,0
1/6/2023,Reg 6,Fund Distribution,0,0
1/6/2023,Reg 6,Payment,156008247,0
1/6/2023,Reg 6,Remittance & Sharia,36073599,0
1/7/2023,Pospay,Bendapos & Meterai,0,0
1/7/2023,Pospay,Fronting,3473,0
1/7/2023,Pospay,Payment,69614222,0
1/7/2023,Pospay,Remittance & Sharia,-24932696,0
1/7/2023,Reg 1,Bendapos & Meterai,101937649,0
1/7/2023,Reg 1,Fronting,5420470,0
1/7/2023,Reg 1,Fund Distribution,0,0
1/7/2023,Reg 1,Payment,85886118,0
1/7/2023,Reg 1,Remittance & Sharia,25614078,0
1/7/2023,Reg 2,Bendapos & Meterai,212250952,0
1/7/2023,Reg 2,Fronting,2512360,0
1/7/2023,Reg 2,Fund Distribution,0,0
1/7/2023,Reg 2,Payment,47668224,0
1/7/2023,Reg 2,Remittance & Sharia,33416599,0
1/7/2023,Reg 3,Bendapos & Meterai,51198090,0
1/7/2023,Reg 3,Fronting,4568730,0
1/7/2023,Reg 3,Fund Distribution,0,0
1/7/2023,Reg 3,Payment,27570070,0
1/7/2023,Reg 3,Remittance & Sharia,52172214,0
1/7/2023,Reg 4,Bendapos & Meterai,64479387,0
1/7/2023,Reg 4,Fronting,4963931,0
1/7/2023,Reg 4,Payment,66622211,0
1/7/2023,Reg 4,Remittance & Sharia,18271184,0
1/7/2023,Reg 5,Bendapos & Meterai,112224403,0
1/7/2023,Reg 5,Fronting,8403812,0
1/7/2023,Reg 5,Fund Distribution,0,0
1/7/2023,Reg 5,Payment,68412677,0
1/7/2023,Reg 5,Remittance & Sharia,38895249,0
1/7/2023,Reg 6,Bendapos & Meterai,78211710,0
1/7/2023,Reg 6,Fronting,6204396,0
1/7/2023,Reg 6,Fund Distribution,0,0
1/7/2023,Reg 6,Payment,97959877,0
1/7/2023,Reg 6,Remittance & Sharia,33163181,0
1/8/2023,Pospay,Bendapos & Meterai,0,0
1/8/2023,Pospay,Fronting,86434,0
1/8/2023,Pospay,Payment,27228853,0
1/8/2023,Pospay,Remittance & Sharia,-9328073,0
1/8/2023,Reg 1,Bendapos & Meterai,6457371,0
1/8/2023,Reg 1,Fronting,22379156,0
1/8/2023,Reg 1,Fund Distribution,0,0
1/8/2023,Reg 1,Payment,-6598113,0
1/8/2023,Reg 1,Remittance & Sharia,6448441,0
1/8/2023,Reg 2,Bendapos & Meterai,10039320,0
1/8/2023,Reg 2,Fronting,8032752,0
1/8/2023,Reg 2,Fund Distribution,0,0
1/8/2023,Reg 2,Payment,-577424,0
1/8/2023,Reg 2,Remittance & Sharia,9591230,0
1/8/2023,Reg 3,Bendapos & Meterai,3449977,0
1/8/2023,Reg 3,Fronting,11498816,0
1/8/2023,Reg 3,Fund Distribution,0,0
1/8/2023,Reg 3,Payment,-1396071,0
1/8/2023,Reg 3,Remittance & Sharia,17664230,0
1/8/2023,Reg 4,Bendapos & Meterai,4337772,0
1/8/2023,Reg 4,Fronting,11468976,0
1/8/2023,Reg 4,Fund Distribution,0,0
1/8/2023,Reg 4,Payment,-4303648,0
